Player,Name,Found,Evidence,URL
MJ Guptill (NZ),MJ Guptill,,search page,https://en.wikipedia.org/w/index.php?search=MJ%20Guptill&ns0=1
V Kohli (INDIA),V Kohli,Middle-order,search page,https://en.wikipedia.org/w/index.php?search=V%20Kohli&ns0=1
RG Sharma (INDIA),RG Sharma,Middle-order,infobox: top-order batter,https://en.wikipedia.org/wiki/RG_Sharma
Babar Azam (PAK),Babar Azam,Middle-order,page text,https://en.wikipedia.org/wiki/Babar_Azam
AJ Finch (AUS),AJ Finch,,search page,https://en.wikipedia.org/w/index.php?search=AJ%20Finch&ns0=1
PR Stirling (IRE),PR Stirling,Middle-order,infobox: top-order batter,https://en.wikipedia.org/wiki/PR_Stirling
DA Warner (AUS),DA Warner,,search page,https://en.wikipedia.org/w/index.php?search=DA%20Warner&ns0=1
Mohammad Hafeez (PAK),Mohammad Hafeez,All-rounder,infobox: batting all-rounder,https://en.wikipedia.org/wiki/Mohammad_Hafeez
Shoaib Malik (ICC/PAK),Shoaib Malik,All-rounder,infobox: all-rounder,https://en.wikipedia.org/wiki/Shoaib_Malik
EJG Morgan (ENG),EJG Morgan,,search page,https://en.wikipedia.org/w/index.php?search=EJG%20Morgan&ns0=1
BB McCullum (NZ),BB McCullum,"Opener,Middle-order",page text,https://en.wikipedia.org/wiki/BB_McCullum
JC Buttler (ENG),JC Buttler,,search page,https://en.wikipedia.org/w/index.php?search=JC%20Buttler&ns0=1
KS Williamson (NZ),KS Williamson,,search page,https://en.wikipedia.org/w/index.php?search=KS%20Williamson&ns0=1
Mohammad Shahzad (AFG),Mohammad Shahzad,Opener,page text,https://en.wikipedia.org/wiki/Mohammad_Shahzad
KJ O'Brien (IRE),KJ O'Brien,,search page,https://en.wikipedia.org/w/index.php?search=KJ%20O%27Brien&ns0=1
Mahmudullah (BAN),Mahmudullah,Middle-order,infobox: middle-order batter,https://en.wikipedia.org/wiki/Mahmudullah
JP Duminy (SA),JP Duminy,All-rounder,infobox: all-rounder,https://en.wikipedia.org/wiki/JP_Duminy
LRPL Taylor (NZ),LRPL Taylor,Middle-order,infobox: middle-order batsman,https://en.wikipedia.org/wiki/LRPL_Taylor
CH Gayle (WI),CH Gayle,All-rounder,infobox: all-rounder,https://en.wikipedia.org/wiki/CH_Gayle
Shakib Al Hasan (BAN),Shakib Al Hasan,All-rounder,infobox: all-rounder,https://en.wikipedia.org/wiki/Shakib_Al_Hasan
TM Dilshan (SL),TM Dilshan,All-rounder,infobox: all rounder and wicketkeeper,https://en.wikipedia.org/wiki/TM_Dilshan
GJ Maxwell (AUS),GJ Maxwell,,search page,https://en.wikipedia.org/w/index.php?search=GJ%20Maxwell&ns0=1
KL Rahul (INDIA),KL Rahul,Opener,page text,https://en.wikipedia.org/wiki/KL_Rahul
Q de Kock (SA),Q de Kock,,search page,https://en.wikipedia.org/w/index.php?search=Q%20de%20Kock&ns0=1
DA Miller (SA/World),DA Miller,,page text,https://en.wikipedia.org/wiki/DA_Miller
S Dhawan (INDIA),S Dhawan,Opener,search page,https://en.wikipedia.org/w/index.php?search=S%20Dhawan&ns0=1
Tamim Iqbal (BAN/ICC/World),Tamim Iqbal,Opener,infobox: opening batter,https://en.wikipedia.org/wiki/Tamim_Iqbal
C Munro (NZ),C Munro,Middle-order,search page,https://en.wikipedia.org/w/index.php?search=C%20Munro&ns0=1
RD Berrington (SCOT),RD Berrington,,search page,https://en.wikipedia.org/w/index.php?search=RD%20Berrington&ns0=1
Umar Akmal (PAK),Umar Akmal,Middle-order,infobox: middle-order batsman,https://en.wikipedia.org/wiki/Umar_Akmal
AB de Villiers (SA),AB de Villiers,Opener,page text,https://en.wikipedia.org/wiki/AB_de_Villiers
H Masakadza (ZIM),H Masakadza,Opener,search page,https://en.wikipedia.org/w/index.php?search=H%20Masakadza&ns0=1
AD Hales (ENG),AD Hales,,search page,https://en.wikipedia.org/w/index.php?search=AD%20Hales&ns0=1
Mohammad Rizwan (PAK),Mohammad Rizwan,"Opener,Middle-order",page text,https://en.wikipedia.org/wiki/Mohammad_Rizwan
MS Dhoni (INDIA),MS Dhoni,Middle-order,page text,https://en.wikipedia.org/wiki/MS_Dhoni
MN Samuels (WI),MN Samuels,,search page,https://en.wikipedia.org/w/index.php?search=MN%20Samuels&ns0=1
SK Raina (INDIA),SK Raina,All-rounder,search page,https://en.wikipedia.org/w/index.php?search=SK%20Raina&ns0=1
MDKJ Perera (SL),MDKJ Perera,,search page,https://en.wikipedia.org/w/index.php?search=MDKJ%20Perera&ns0=1
F du Plessis (SA/World),F du Plessis,,search page,https://en.wikipedia.org/w/index.php?search=F%20du%20Plessis&ns0=1
LMP Simmons (WI),LMP Simmons,,search page,https://en.wikipedia.org/w/index.php?search=LMP%20Simmons&ns0=1
Mohammad Nabi (AFG),Mohammad Nabi,All-rounder,infobox: all-rounder,https://en.wikipedia.org/wiki/Mohammad_Nabi
KJ Coetzer (SCOT),KJ Coetzer,,search page,https://en.wikipedia.org/w/index.php?search=KJ%20Coetzer&ns0=1
